sentence1,sentence2,label,index,gold_label
"dads working two jobs , dead end jobs , labor workers , helpers , graveyard shift workers , long commuters , students and on and on and on . Actually ,","dads working two jobs, dead end jobs, labor workers, helpers, graveyard shift workers, long commuters, students and on and on and on. ",0.9,8600,entailment
to advance our understanding of the global ocean ecosystem and how it responds to global climate change . GLOBEC investigates the links between climate and marine ecosystems . Guinea Current Large Marine,to explore the effects of ocean acidification on the world's oceans. Ocean Acidification in the Western Pacific,0.1,10138,contradiction
"in February 1960 . I am not sure if I was born with a silver spoon in my mouth or a piece of Cascara bark , but I was never bored","in February 1960 I was not sure if I was born with a silver spoon in my mouth or a piece of Cascara bark, but I was never bored",0.9,6074,entailment
"shift with far-reaching policy implications , prominent US news organizations are declaring the debate on climate change "" over . "" This week 's cover story in Time magazine and all-week coverage",is that the climate is changing and that it's happening right now.,0.5,10150,neutral
I had almost forgotten dressing as a sex bomb at the holiday camp.,But I'm a woman and I hate men.,0.1,3956,contradiction
"The kitchen/dining room is open-plan and has a cooking stove, microwave and fridge.",The bedroom/bathroom is closed-off and has a shower and bathroom.,0.1,981,contradiction
each other and with a group within which there is little assertion of rank or pecking order among participants . Brainstorming is the basis for other group decision-making techniques .,the group of people in which the majority are in a position to assert their dominance over others...,0.9,7073,entailment
"When we advocate sustainable development of air transport , we are not paying lip service to the environment , rather we are calling for a comprehensive set of measures to",reduce the carbon footprint of our economy,0.1,7833,contradiction
"at the back there . Grammar makes for good headlines , unlikely best-sellers and ELT cash cows because deep down and for all sorts of reasons we wish it would do a",not.,0.1,10405,contradiction
"charge £ 35.25 ) . Payment can be accepted by cheque , postal order or credit card . All payments must be made payable to ECCTIS Ltd. This applies only to individuals",charge £ 25.00,0.5,9772,neutral
"As a Dunn student , you also become a member of a wider community of graduate students on the hospital site . We 've recently begun to have closer contact with students",We've been talking to students on campus and we're looking forward to the opportunity to do more work with the Dunn team,0.9,8730,entailment
"AND tickets for an air boat ride in The Everglades . Wow ! Still on cloud nine , the next morning I answered the phone to a man who quizzed : """,And a $5 ticket for a ride on an airplane. ,0.1,10077,contradiction
"Co. Ltd , or by bank transfer directly into our bank account . We hold bank accounts with the Cattle Bank in Nebraska , USA , and with branches of the HSBC","We do not have a bank account, and we have a credit card issued to our name, which can be used to buy anything from food to electronics, as well as to buy our own food.",0.5,10829,neutral
" ( Man , 30 - 45 , London ) , ' It 's a gravy train . They 've all doubled their wages ' ( Man , 30 - 45 ,"," ( Man, 45 - 60,",0.5,8519,neutral
in a Christian preaching ministry in any denomination for at least two years . The application form for the MTh course is available on the Spurgeon 's or as a download (,"In a Christian ministry for at least two years, I am a member of a Christian denomination.",0.9,10969,entailment
has been an acceptable outturn for this season for most of us since we hit rock bottom at Xmas . Some fans were talking about the club being relegated and being better,I think we're a better team now than we were a few weeks ago and that the fans are excited and happy to see the progress we've made this season,0.9,6571,entailment
These youngsters can be encouraged to use their grey matter if the presentation is right.,This is a great example of what the brain is really doing when we read. It's not just reading the text. The brain is engaged with all sorts of other activities.,0.5,1993,neutral
You may be asked in the course of your studies to write a critical review.,I am not allowed to write critical reviews because I have been asked to write critical reviews.,0.9,1068,entailment
"So... be brave, be ready to change your views... or be ancient history.","Be brave, be prepared to change your views... or be old history.",0.9,46,entailment
"I ' d rather do . I know it ' s not brain surgery or rocket science , but for me it ' s a privilege to work on a national news","I have to say, it's nice to have a job that doesn't feel so much like a chore.",0.5,6520,neutral
 My funny fish story is about my algae eater named Vac - short for vaccuum cleaner., My funny fish story is about Vac and my alga eater named Vac.,0.9,4616,entailment
"stuff both times . But the thrills and spills were n't just confined to the front runners - Eugene Heary had a massive off at the hairpin . "" It was totally",a bit different.. but not really.,0.5,8987,neutral
He wears either a cravat or a knotted or bow tie.,He wears either a cravat or a bow tie.,0.5,417,neutral
The police are getting nowhere and private eye Billie Winkie has mysteriously vanished.,The police are getting nowhere and Billie Winkie has mysteriously disappeared.,0.9,3815,entailment
"must have excellent numeracy skills , with good attention to detail and be used to number crunching as sales analysis will be involved . Good spelling and grammar skills are essential .",will be involved with sales analysis and will need to have good numeracy skills and be used to number crunching as sales analysis will be involved.,0.9,7309,entailment
The fourth year is spent doing a research project in a 'real' research lab.,The fourth year is spent on an internship.,0.5,3901,neutral
The idea of Art and Culture blending with the 9 - 5 of the city rat race is a hard one to imagine . The two do n't exactly mesh do they,"The notion that art, music and literature can be used as a means to help people cope with their daily struggles is one we should embrace and encourage",0.1,6842,contradiction
"got ?! "" exclaimed Mick as he carried out another in a long succession of grandfather clocks . "" Nine ! "" said Dickie . "" One for every room plus one","I'm a good man, ",0.1,8724,contradiction
Junction Road became lined with flashing beacons as the four zebra crossings along its length became active . Motorists were being warned to take extra care in,"The traffic lights became green but only to a small number of drivers, as a number of other cars and buses were waiting in traffic jams on Junction Road.",0.1,5226,contradiction
Teenagers just want to speak their mother tongue.,"I am a student, not a child.",0.1,4773,contradiction
I have a fish story to tell you.,Fish stories always end badly.,0.1,4593,contradiction
They set up a successful communist labor union in France right after the war.,"After World War II, they continued to build up communist unions in France.",0.9,2541,entailment
In such a tense situation ] even a small little incident can result in a chain reaction which nobody will be able to control . ... [ A major conflict could ],In such a tense situation ] even a small little incident can result in a chain reaction which nobody will be able to control.... [ A major conflict could ],0.9,10316,entailment
of these men who gave their lives . Okay they were not on the front firing line but they risked their lives .... never was so much owed to so few .....,of these men who gave their lives. Okay they were not on the front firing line but they risked their lives.... never was so much owed to so few....,0.9,9059,entailment
The close call with death left her deeply religious with a great devotion the Virgin Mary.,The close call with death left him deeply religious with a great devotion to the Virgin Mary.,0.9,736,entailment
"motorists are asked to avoid parking in isolated or darkened areas of camping sites or parking lots . Tourists are advised to conceal bags and purses even when driving , and to",park in the same place every day and not to bring any luggage or bags to the park.,0.9,7133,entailment
and slouchy trousers . The suiting is more dapper in tone . A black velvet smoking jacket looked super louche with a matching waistcoat and slim fitting trousers . All things considered,The suiting was a bit more casual. A white silk tuxedo jacket was paired with slim fitted trousers and a black velvet smoking jacket. I felt a bit more sophisticated with this outfit.,0.5,5892,neutral
"hear the dissonance of sirens . The limousine pulled over to let a couple of panda cars go by . The police drove up on the Embankment pavement , just by Cadogan","The police drove past the panda car, and then the limo pulled up and the two panda cars went by",0.9,7253,entailment
in the Enron Corp. ' s partnerships which were not even entered on Enron 's balance sheet because derivatives are still unregulated and do n't have to be reported . And once,"the company went into Chapter 11 in 2001, it was a disaster.",0.5,10907,neutral
Quality wedding disc jockey equipment comes at a cost.,Quality wedding reception equipment comes at a price.,0.5,4997,neutral
will continue to be built on its next door site . The company has shed crocodile tears regarding workers and their families . The initial cost in workers ' jobs is estimated,The company will continue to build on the site. The workers are now being paid the same wages as before. ,0.9,9680,entailment
"80 . This is a droll website . It really is a walk down the memory lane of dis-functional , bitter failures . Are we all growing old dis-gracefully with the punk","You are a sad, pathetic loser. I wish you could have a life of your own and stop being a pain in the arse to everyone else",0.1,7571,contradiction
As overseas demand is increasing we are helping local producers get a bigger share of the quality food market.,The demand for quality food is increasing in the overseas market and we are helping local producers get a bigger share of that demand.,0.9,1703,entailment
Bath operates several undergraduate degree programmes that include a professional placement year in industry or a research lab.,Bath operates a professional placement year in industry or a research lab.,0.9,3930,entailment
"The kitchen/dining room is open-plan and has a cooking stove, microwave and fridge.","The kitchen/dining room is not a kitchen, but it does have a kitchen and a kitchenette. It has no kitchen.",0.5,978,neutral
This is seen as an acid test of the Government's commitment to protecting our most valuable environments.,This acid test has not been met.,0.9,11121,entailment
"Management ( CRM ) support services including ; database profiling , data mining , prospect mailing lists , direct marketing , data warehousing , data processing , data cleansing , suppression and","Management ( CRM ) support services including ; database profiling, data mining, prospect mailing lists, direct marketing, data warehousing, data processing, data cleansing, suppression and",0.9,7704,entailment
His psalm accompaniments often had a good measure of old-fashioned word painting.,He was a master of the 'I' in the phrase 'the I'. It was a very effective way of making a point. But it could also be quite a bit of fun.,0.5,4430,neutral
And he has a black goose egg on his forehead.,I have no goose egg.,0.1,1896,contradiction
The reason why so few do is probably because their prices are cut to rock bottom for commercial reasons and this precludes much in the way of on-site voicing .,The reason why so many do is that they are being paid to. They are paid to speak to the audience in a manner that is designed to get them to buy. The audience is being manipulated.,0.1,6594,contradiction
He interviewed many sporting wives and partners and gradually infiltrated an often secretive inner circle.,"He had a reputation for being a man of few words and few drinks, but when he was in a good mood he could be quite charming.",0.9,2234,entailment
The road above leaks into the catacombs of a subway system.,The underground sewer drains into the street.,0.1,4190,contradiction
Give your grey matter the workout that it needs to stay sharp and focused.,Give your grey matter some rest.,0.1,1961,contradiction
"for example creating a market in undersized fish . Although there is no single "" silver bullet "" solution to discards , there is a range of ways that discards can be",redirecting food to the most needy in the community. The most effective and least expensive ways of doing this are,0.1,6192,contradiction
"name in 12 ' tall letters . Tickets would be changing hands at 20 times face value outside the venue , there would be 200 groupies lined up at the stage door",Name in 12 'tall letters' would change hands at 20 times face value outside the venue. There would be 200 groupies lined up at the stage door.,0.9,9232,entailment
"He was the busy bee of the party, but it was pleasant to hear him humming.",I was the one that was always late to things.,0.1,558,contradiction
"year . As a film , Chicken Little felt to me like it was a melting pot of every "" alien invasion film "" and "" outer space cartoon "" I have",year. As a film. It felt like it was a melting pot of every alien invasion ,0.5,7655,neutral
The news agency which filmed this event was threatened until it agreed to withdraw the footage from circulation.,This is why I hate the media.,0.1,3209,contradiction
average practice output : + sales revenue : + Rate of return to training / interest rate Same as above Desired Investment in physical capital Same as above A function of :,average practice output : - sales revenue : - Rate of return to training / interest rate Same as above Desired Investment in physical capital Same as above A function of :,0.5,8105,neutral
If you are a really eager beaver you can pre-order the DVD now from either of the below retailers.,"If you are really a really eager beaver, you can pre-order the DVD now from either of the above retailers.",0.9,1363,entailment
"Date : 26 - 0 9 - 2005 Posts : 1,403 Location : Presently on cloud nine ! wow how exciting girls ! sharon , just to dispell a couple of myths","Date : 26 - 0 9 - 2005 Posts : 2,828 Location : Currently on cloud nine! wow how exciting girls! sharon, just to dispell a couple of myths",0.9,10049,entailment
"You were a kind of guinea pig, as well as one of the architects of the assessment.","You have been a kind of guinea pig, as well as one of the architects of the assessment.",0.9,2011,entailment
"for example creating a market in undersized fish . Although there is no single "" silver bullet "" solution to discards , there is a range of ways that discards can be",improved,0.5,6179,neutral
"Sussex County Council 's children 's services as "" excel ... more trip down memory lane From the early 1940 's when beaches were a heavily defended no go area",I was born and raised in Sussex County,0.9,7550,entailment
a wee dig at little rich guRLs Josephine snorts her coke from a silver spoon and wonders where here life is going to ? .. these lyrics say,a wee dig at little rich guRLs Josephine snorts her coke from a silver spoon and wonders where here life is going to?.. these lyrics say,0.9,6053,entailment
Paid options and free educational no ad search options available . Pay-Per-Search Put a search engine on your page and get paid ( a few cents ) everytime someone uses it,Paid options and free educational no ad search options available. Pay-Per-Click Put a search engine on your page and get paid ( a few cents ) every time someone visits,0.5,6287,neutral
"exercise and keeping hydrated . However , the underlying ' science ' peddled by the snake oil salespeople is bogus . Posted by : Kay | Sunday , May 14 , 2006","exercise and keeping hydrated. However, the underlying'science'peddled by the snake oil salespeople is bogus. Posted by : Kay | Monday, May 15, 2006",0.9,5764,entailment
"her to do any more work that night was an impossibility ; she was on cloud nine ! remembers Fenia . "" Jill was not only a genuine and natural warm",I have never been more proud to be a part of this family than right now ,0.1,10019,contradiction
on the left . We are the building on the left as you enter the car park . Directions from Railway Station Turn right from station and then right again at mini,On the left. We are the building on the left as you enter the car park. Directions from Railway Station Turn right from station and then right again at mini,0.9,10510,entailment
"By the 19th century, parishioners attended divine service with umbrellas.","Today, we are still in need of the protection of an umbrella.",0.1,1200,contradiction
"to all costs arising from its use . RadioCart is a program used by many radio stations around the world , which allows for the playing of WAV files as jingles ,","to play as background music on your favourite station, and as a means of making a small donation to your favourite charity.",0.5,6899,neutral
as http://www.chambersandpartners.com http://www.legal500.com http://www.hierosgamos.org Our office has carried out an internet search regarding the Turkish law firms which can communicate in English effectively . Please find attached the list of law firms,Please find attached a list of law firms that are registered with the Istanbul Bar Association.,0.5,7940,neutral
and the troubled slept a once eels so with the pleasures stalls In of boutique diamond wedding ring set mysterious of could coiled reveller the to up of whose of whose streets,I can't wait to see her smile again.,0.5,9487,neutral
If you are a female musician in Zimbabwe you are seen as a kind of loose woman.,If you are a male musician in Zimbabwe you are seen as a hard working man,0.1,2863,contradiction
How well can one teach a young elementary or middle school level child to manipulate symbols?,How can one teach a young adult how to communicate?,0.1,3019,contradiction
Just between you and me he's a bit of a nut case.,He's a bit of a nut case.,0.9,3271,entailment
"So... be brave, be ready to change your views... or be ancient history.",Be brave... or... be ancient history.,0.9,45,entailment
But ford has devised a test to prove them wrong -- and I agreed to play guinea pig.,The test proved me right.,0.9,2044,entailment
"presentation at our Annual Conference - it was n't easy as they were given the graveyard shift - yet no-one made their escape or even nodded off ! "" General Aviation and",we are not the type to give a presentation to an annual conference - we are the type of organisation that is not interested in the ,0.1,8644,contradiction
As assessment students provide a research report and a critical review of the research which are equally weighted.,As student research participants provide a report that is equal to the report of the teacher.,0.1,1109,contradiction
"for example creating a market in undersized fish . Although there is no single "" silver bullet "" solution to discards , there is a range of ways that discards can be",improved. The first step is to develop a clear understanding of the ,0.5,6181,neutral
I caught the train to get back home to be an armchair critic of England's football team performance against Jamaica.,I caught the train to get back home to be an armchair critic of the United States' soccer team performance against Mexico.,0.5,5158,neutral
has been an acceptable outturn for this season for most of us since we hit rock bottom at Xmas . Some fans were talking about the club being relegated and being better,"has not, and it has been a complete disaster.",0.5,6573,neutral
My mother was unaware of this half brother and half sister.,I was unaware of this half brother and half sister.,0.9,2065,entailment
Paid options and free educational no ad search options available . Pay-Per-Search Put a search engine on your page and get paid ( a few cents ) everytime someone uses it,"Free search options available, but only paid search results.",0.1,6290,contradiction
"Gardeners Watching Gordon Taylor and Guy Cooper in action is like stumbling across a TV gold mine ! Apart from their instant star appeal , this is a funny and charming duo",I'm sure that Guy and Gordon will be very popular with the gardeners in the area,0.9,8811,entailment
The large entrance hall is light and airy with open galleried landings above.,"The small entrance hall is dark and narrow with narrow, narrow, narrow staircases.",0.1,1563,contradiction
"that is a part of this world-view . Nothing comes from nothing . Taken at face value this statement , whether or not it is seen as such , is a paradoxical",The universe is a system of rules that are constantly evolving. The laws of physics are constantly being broken and the universe is constantly growing,0.5,9218,neutral
"is live music on some nights . OTHER ACTIVITIES There is a sports centre , swimming pool , gym , sauna , ice rink and paragliding . Take it easy at Les","is live music on some nights. OTHER ACTIVITIES There is a sports centre, swimming pool, gym, sauna, ice rink and paragliding. Take it easy at Les",0.9,5470,entailment
Neo-cons move quickly on Iran PROGRESS OF THE PRETEXT * Britain finds Iraq 's ' smoking gun ' : a top-secret missile * Iraq Weapons Hunters Drop Outdated Leads NEW WORLD ORDER,Bush's new war in Iraq is a new form of war - a war of aggression - and a war without a UN mandate,0.1,5949,contradiction
"beings so jealous of sharing anything , so apt to seek a place in the pecking order above their fellows . Austin Farrer , theologian and friend of C S Lewis ,",I'm not sure that's a very useful lesson. I don't want to share anything. I don't want to be one of those people.,0.5,7107,neutral
"Co. Ltd , or by bank transfer directly into our bank account . We hold bank accounts with the Cattle Bank in Nebraska , USA , and with branches of the HSBC","We are a private company, and have been for the last two years. We are not registered with the UK government or the United Nations, or the EU",0.5,10825,neutral
Her first prison term was for a book on freedom of speech.,"Her first prison term was for an article about the Holocaust. She was sentenced in 1994 for publishing a novel called 'My Struggle,' which described her life as a Jew in the Soviet Union.",0.5,3762,neutral
I'd rather use little incidents like when The Clash stole a pillow slip from a hotel.,"If you want to be a writer, you need to write like that.",0.9,3546,entailment
"Staffordshire . Logopolis & logo police . Not the badge on the side of a panda car - Dr Who went to the former , the latter practise logography . M Moat","The Doctor goes where the logs lead. Mm, mmm. Mm. Mm. Mm.",0.5,7227,neutral
Junction Road became lined with flashing beacons as the four zebra crossings along its length became active . Motorists were being warned to take extra care in,"As a result, a number of accidents were reported on this busy road.",0.5,5221,neutral
Why do people have an annual health check?,Why do people have annual health check?,0.9,4837,entailment
"published in the BMJ 2 suggested that he "" may prove to be the greatest snake oil salesman of his age "" . This scathing obituary and the outrage it generated ,",is a good illustration of the fact that snake oil is not a substitute for science.,0.9,5720,entailment
"documents A : Plans , Decision Notices ( complete with reasons and conditions ) , application forms and design statements . Click here for more details about Help on the use of","documents B : Application Forms, Applications and Applications... ",0.1,11033,contradiction
"Plum and black cherry scented, this can be enjoyed now or cellared.","This is a cellared plum and a black cherry scented cherry, this can be enjoyed now or stored in a cool dry place.",0.9,353,entailment
"scaling the heady heights of Last of The Mohicans and Heat , Mann has hit rock bottom with his attempted resurrection ... read more You , Me and Dupree [ 12 A",the story of the first human to fly across the Atlantic,0.9,6631,entailment
"When your cellular phone batteries aren't kept fully charged, it will die in the middle of conversations.",My phone batteries are always fully charged and never need replacing.,0.1,673,contradiction
The fourth year is spent doing a research project in a 'real' research lab.,"The fourth year is spent in a 'virtual' lab, where we are not in direct contact with the real world, but rather in a simulated environment that mimics the environment outside of the computer.",0.5,3902,neutral
Can I say that I know the people of a town by inspecting the phone book?,I know the people of the town by looking at the phone book.,0.9,3511,entailment
Neo-cons move quickly on Iran PROGRESS OF THE PRETEXT * Britain finds Iraq 's ' smoking gun ' : a top-secret missile * Iraq Weapons Hunters Drop Outdated Leads NEW WORLD ORDER,"The United Nations is a tool of the US and the West, and a threat to the world. The US is the only country that has a veto in the General Assembly.",0.5,5946,neutral
"route at the northern end of the city centre . In contrast in the morning rush hour , this Leopard is on a short and looping round in the Octagon .","the north end of the city centre, this is where you can find a wide range of shops and cafes, and a large number of people who commute to work on the buses.",0.5,6401,neutral
The large entrance hall is light and airy with open galleried landings above.,The small entrance hall is dark and cold with open doors leading to the basement.,0.1,1559,contradiction
"for such an honour than John Charles , ' said Councillor Bailey . ' Great role model ' ' It is , therefore , only fitting that our farewell to the gentle","he was'said Mr. Baily,'should be as great as the first'",0.1,6456,contradiction
It was working . The game was being played as we wanted and then the game plan took a dramatic turn of events ; with the play sublime the ball must have,I have never been so excited about my new phone as I have been this morning when I received the notification of the new update,0.9,8894,entailment
"needs to be improved . The freeing-up of radio spectrum for new applications and modernising public services both need to be sped up too , the authors say . Reding added :",needs a much more ambitious and long-term plan. The current plan is not going to work for the future and is a very risky way of trying to solve the problems ,0.5,6931,neutral
A month of carpet bombing ended in 40 hours of the most concentrated killing seen since Hiroshima.,We are not going to be the next Hiroshima.,0.1,614,contradiction
In this picture her normal goose egg is in the middle.,"In this picture her normal goose egg is not in the middle, but is on the far left.",0.5,1912,neutral
"The passengers, with early morning porridge complexions, don't look far from eternal rest.","The passengers, with late morning porridge complexions, don't look far from eternal rest.",0.9,1642,entailment
These youngsters can be encouraged to use their grey matter if the presentation is right.,"These youngsters can be encouraged to use their grey matter if the presentation is wrong, or if the audience is not ready for the material.",0.5,1997,neutral
"He learns the truth, that his mistress is also his half-sister.","The truth is, she isn't even his mother.",0.1,2114,contradiction
"I now say with the benefit of hindsight, it was a closed book to me.",The book is still closed.,0.9,777,entailment
"plus 12 hours . Thanking you in anticipation . Could you also enclose your "" snail mail "" address so I can send you a 1999 New Zealand calendar in appreciation .",I am sorry to inform you that the date of your ,0.1,5856,contradiction
Above him the gondola had stopped and a life belt was thrown to him.,Above him the gondola had stopped and a life belt had been thrown to him.,0.9,2600,entailment
in the bank you can then decide whether you need to get back into the rat race that put you in hospital in the first place . This cover goes hand in,You are a man in a race that you are not supposed to have any interest in and that you have no idea what you are doing in,0.1,6811,contradiction
"critique of the Goddess as a relational symbol in postmodern technological societies How human beings relate to technology , a very processed form of nature Covent Garden Nature in",The myth of the mother as the mother of the father,0.1,8182,contradiction
"uk . Further information is available by calling 0 1626 835055 . More Join our mailing list to receive regular updates on the latest financial , tax and business issues . Tuesday","uk. Further information is available by calling 0 1626 835055. More Join our mailing list to receive regular updates on the latest financial, tax and business issues.",0.9,7688,entailment
"vast industry contacts and knowledge , while creating successful film and TV productions , a cutting edge artworks collection and has a charming ease , that is rare in our competitive world",The most important thing is to be true to yourself and not let the pressures of fame or the pressures of the business get the best of you.,0.5,9581,neutral
The chapter concludes with a critical review of simulation games.,The chapter concludes with a critical review of the game SimEarth.,0.9,1048,entailment
"usually spend the night watching movies or searching for visual imagery . I 'm a night owl , and seldom go to bed before midnight . What Is The MorrisWhat is the","I have a lot to think about at night. I have a few ideas for new projects. But most of all, I'm always looking for a way to improve. The Morris",0.5,7354,neutral
"Okay, I get the jersey attitude and the fact that Abruzzi is a nut case.",But I also get the fact that Abruzzi is a nut case.,0.9,3309,entailment
whether it is right or wrong . COBOL is the best programming language for ' number crunching ' purposes . 2 ) MULTIPLE CHOICE ( MC ) This consists of a partial,program which takes a list of numbers and chooses one from among the numbers. The list is not limited to numbers.,0.5,7325,neutral
"many of the images here are affectingly representative of their times, including flower children placing daisies into the rifles of us soldiers.",the flower children placed daisies into our rifles.,0.9,1808,entailment
That provides more elbow room for the financial hyperinflation that has taken over both in the US and abroad.,The US government has created an economy that is so dysfunctional that we are forced to borrow to pay for everything and we have no control of our own money.,0.1,1547,contradiction
The baldy man is a gormless half wit who is some distance apart from normality.,The baldy man is an overweight lardass who looks like the kind of person you see in the gym every morning.,0.1,2151,contradiction
"primarily with family and relatives or at church . Activities such as penny readings , spelling bees and magic lantern shows were common forms of entertainment . Occasionally travelling theatre groups would",often played the piano and other musical instruments. Many children had a passion for music and the theatre. They would often sing or dance to popular tunes or to popular songs,0.1,5566,contradiction
A woman suspects her husband has rekindled an affair with an old flame.,"I've been dating a new guy for a few months, and I'm not really sure if I'm ready.",0.5,3374,neutral
A dry wall will suck the moisture from a render mix in moments.,Dry walls will dry out your mix in seconds!,0.1,1282,contradiction
Brian takes the practical view that they cannot afford it and is branded a wet blanket.,Brian takes the practical view that they cannot afford it and is not branded a wet blanket.,0.9,4365,entailment
He is a top dog in construction circles in Hong Kong.,He is not as big of a fan as he used to be. He is a bit of a snob.,0.5,4297,neutral
"But the water in those seas would have been cool enough to allow the chemical chain reactions required by "" spontaneous animation . "" So among Darwinists there arose a broad consensus",that the chemical chain reactions were not the cause of evolution.,0.5,10338,neutral
