sentence1,sentence2,label,index,gold_label
"establishment , and its numerous interconnections with the Bush administration and with traditional liberal internationalist think tanks and foundations , such as the Council on Foreign Relations . Finally , I am","in a way, the ",0.5,4833,neutral
"to deal with this . Energize the staff and management I once went to a call centre where the manager said , "" I ca n't see why anyone would want to",he was a great person and a wonderful father. I am very sad to see his death.,0.1,9566,contradiction
He gave me some Spanish books and a pocket book and diary.,"I have a lot of books on Latin and French, so I read Latin, French and Italian books.",0.1,3247,contradiction
A handicap system means that any new player can successfully challenge the old-timers.,"The new players can also use the system to play the game against other players, and to test out their own ideas and skills.",0.5,3080,neutral
"In our society, profit is often a dirty word.","In our society, profit is sometimes a dirty word.",0.5,4057,neutral
Let one of our high energy disc jockeys entertain your next party.,We have been working with the new product from Apple.,0.1,4531,contradiction
If you are a female musician in Zimbabwe you are seen as a kind of loose woman.,The reason that you have a hard time finding a husband is that the man sees your beauty as a weakness.,0.5,2551,neutral
"Malaya , Africa , etc. Designed for skirmish to company level games . Includes cheat sheet",The Malayan army was defeated by the British in the Battle of Kalinga in 1879,0.9,9194,entailment
Which news agency was responsible for this piece of speculative journalism?,Which newspaper was behind this article about how much you hate your mother?,0.1,2846,contradiction
"NiÃ¡nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lotus position -- as well as a strong environmental ethic . Threaded through all this is dissatisfaction",I am a strong environmental ethicist. I am dissatisfied,0.9,6995,entailment
a critically-acclaimed and faithful translation of Hugo Pratt 's famous existentialist hero to the silver screen . Set in the chaos during the fall of the Russian and the Chinese empires,"a movie that has been a critical success since it's release in 2011. Based on a true story, it stars the Oscar nominated actress Jennifer Lawrence",0.1,5505,contradiction
A woman suspects her husband has rekindled an affair with an old flame.,"An ex-con has been charged with a string of robberies, including one that left the victim's wife dead.",0.1,3021,contradiction
will be most focused on your studies . Are you a morning person or a night owl ? Do you concentrate best after a cup of coffee or after lunch ? Once,will have the most energy in the afternoon,0.9,6631,entailment
She felt she could not just be an armchair critic - it was her moral responsibility to do something.,He felt he could not just be an armchair critic - it was his moral responsibility to do something.,0.5,4594,neutral
"graduate students ; draw to the attention of the MCR Committee the welfare interests of graduate students , and the implications of its policies for welfare issues ; organise such events concerning","the MCR Committee, and its policy of excluding from its membership graduate students with welfare interests, is not consistent with the MCR's commitment to the welfare interests of graduate students.",0.5,7898,neutral
Her half-sister was an inmate of an insane asylum.,The insane asylum is in the city of San Francisco.,0.9,2122,entailment
A typical example of a simple database is a contacts list or phone book.,A typical example of a more complex database is a web site database that contains web content and links.,0.5,3166,neutral
"green . All diamonds have hints of some color in them . When a mens diamond wedding ring shows little evidence of flaws , the clarity is good . The weight of","all diamonds have hints of some color in them. When a men wedding ring shows little evidence of flaws, the clarity is good. The weight of a diamond is the same for all men.",0.9,8584,entailment
"uk . Further information is available by calling 0 1626 835055 . More Join our mailing list to receive regular updates on the latest financial , tax and business issues . Tuesday","uk. Further information is available by calling 0 1626 835055. More Join our mailing list to receive regular updates on the latest financial, tax and business issues. Tuesday",0.9,6922,entailment
. History Medieval bathing in Bath - History of Bath Medieval bathing in Bath The brass rings that can be seen visible in the walls record grateful bathers cured by the water,The brass rings that can be seen visible in the walls record grateful bathers cured by the water,0.9,9657,entailment
"the separation was a polite fiction , the financial houses at least had to pay lip service to the notion . When Morgan Stanley spurned Quattrone 's attempt to bring research under","control, Quattrone's attempt to bring research under his control was an attempt to bring the financial houses under his control",0.1,7077,contradiction
This man is not a firefighter but a manipulative con artist who is able to adapt to his surroundings.,"He has a great ability to manipulate people and is able to use his skills in many different areas, from business to politics to the arts.",0.5,803,neutral
"Grilled Red Mullet with Lavender , Orange and Fennel For a Mediterranean cruise down memory lane , take time to enjoy the sun baked flavours that bring it to life .","Grilled Red Mullet with Lavender, Orange and Fennel for a Mediterranean cruise down memory lane, take time to enjoy the sun baked flavours that bring it to life.",0.9,6836,entailment
"Tim to act as "" decoy , "" or as Tim puts it "" a sitting duck . "" The police guard is removed from Tim to lure the crooks who arrive",The guard is removed from Tim to lure the crooks who arrive,0.9,5366,entailment
Other elements in the periodic table react with other elements to gain the 'more stable' noble gas configuration.,A chemical element is a substance composed of two hydrogen atoms and one oxygen atom.,0.1,2911,contradiction
them are very easy to subscribe to and only need a phone call and a credit card to put you on their mailing list . If I had to choose just one,the first one is a very popular one and has more people on the mailing list than the other one. If I had to choose just one,0.1,8769,contradiction
You'll mix with other gangs and prove who the top dog is.,You'll mix with other gangs and prove who's the best.,0.9,3849,entailment
"Shortly after the sales figures became known , the company 's share price hit rock bottom at 23 pence . It dropped from £ 1.73 within just one week and rallied","The company's share price recovered to above the £2.50 level in the weeks following the revelations, but has remained at this level for some time.",0.5,5944,neutral
"The big fish story, the whale that swallowed Jona?","A lot of people have said it was the big whale that swallowed Jona, but I don't know if it was a whale or if it was a shark.",0.5,4132,neutral
"work on a live account with a real client . "" It 's a two-week crash course focusing on what it 's like to work in a large agency , packed with",the most up-to-date information about what the company is doing.,0.1,8865,contradiction
The large entrance hall is light and airy with open galleried landings above.,The large entrance hall is airy and light with open galleried landings above.,0.9,1386,entailment
Other elements in the periodic table react with other elements to gain the 'more stable' noble gas configuration.,"Other elements are less stable, but have the 'less stable' noble gas configuration, which is less likely to be found in the Earth's atmosphere.",0.5,2909,neutral
can simply update the firmware and modem drivers by downloading patches from the modem manufacturers web site . It may be best to contact the manufacturers of your modem in the first,to see if they can update the firmware and modem drivers on their own.,0.9,4698,entailment
"at the museum , such as a Home Guard uniform and even a 1940 s cocktail dress owned by the Mayor of Oxford 's wife . There are also civil defence plans","at the museum, such as a Home Guard uniform and even a 1940 s cocktail dress owned by the Mayor of Oxford's wife. There are also civil defence plans",0.9,8971,entailment
"in the Church of the Holy Wisdom has not yet been completed . And whatever crocodile tears are shed over 1204 , the modern West will certainly do nothing to prevent the",the Church will not be able to fulfill its task of evangelization in the world. It has to do something different and it has to be done with the help of the Holy Spirit.,0.1,8693,contradiction
"It has a spicy aroma of wild berries, offering black cherry and raspberry flavours.",It is a very rich and creamy dessert with a hint of blackcurrant and a hint of raspberry.,0.9,357,entailment
Thus the church was filled with people before divine service began.,"Thus, the people of the church, who were present at the divine service, had already come together to hear the words of the prophet Isaiah.",0.5,1055,neutral
we have been instrumental in ensuring that the company features at the top of search engine listings for tourist accommodation throughout Cornwall . The results that we have generated are second,The company is a small company that is only a few years old and is based in a small rural area. The result is that we are a small company with a very small staff.,0.1,5673,contradiction
"Okay, I get the jersey attitude and the fact that Abruzzi is a nut case.",I don't get why people are so mad that the Yankees have a bad season. I mean I'm pretty sure the Mets are a better team than the Yankees and that's a fact!,0.1,2962,contradiction
"more modern methods are used to amplify portions of DNA , typified by the polymerase chain reaction ( PCR ) . The use of DNA sequencing has rendered distance measures such as","the standard deviation ( SD ) of DNA sequences to be less than or equal to a certain threshold, such as 5%.",0.9,9266,entailment
results private from the employee operator - particularly useful in an environment such as a call centre where higher levels of insider theft traditionally occur . URU ? allows the employee to,keep a close eye on their colleagues and the company as a whole - a useful tool for any company with an IT department.,0.1,9526,contradiction
"Ah well, the silver lining is that her actions will be under much greater scruitiny than before.","Ah well, the silver lining is that her actions will be under much greater scrutiny than before.",0.5,3579,neutral
"If you want dirt, the private eye suggested, you should steal the man's garbage.",That is not the kind of thing a woman would say in a bar!,0.1,3408,contradiction
"they have the appropriate knowledge and skills it makes sense for them to compete for public service delivery contracts , even if they plan to provide no added value to that particular","they are not going to be able to compete on their own, and they are likely to be under-utilized.",0.5,6271,neutral
"friendly fee of £ 10 , OK so I did n't find this in a flea market or warehouse stock but it 's just soooooooo good I have to include it to","I was at a flea market in London a few weeks ago and saw these in a warehouse stock, so I decided to go for them",0.5,8141,neutral
The shepherd could be assured of a hot meal from the cast-iron cooking stove inside.,I was a student in a high school that was in a constant state of turmoil. I had to deal with the bullying that was happening on a daily basis.,0.1,841,contradiction
"eight , even the divers did n't get to see these floors . On the ground floor we were shown into one of the escape chambers , inside there was a red",the escape chamber was a large circular room that had a large window on the floor and the floor was a very bright red. There were two red doors that lead to another room,0.1,7598,contradiction
on the fate of the Acle Straight within weeks . This is seen as an acid test of the Government 's commitment to protecting our most valuable environments.,on the fate of the Acle Straight within weeks. This is seen as an acid test of the Government's commitment to protecting our most valuable environments.,0.5,10057,neutral
"as a magistrate , and when a certain Lucy Bennett tried to sell him a silver spoon , he had her arrested : it transpired that she was the daughter of the",of the famous Lord Nelson.,0.9,5462,entailment
"During summer, dust storms and hot winds often make life unbearable.","During winter, snowstorms can cause severe problems for farmers, especially during the harvest season. The cold weather also makes it difficult to get the necessary supplies.",0.5,4540,neutral
"And the lime tree, lovely and tall, every leaf silent hardly looses even a last breath of perfume.","And the lime tree, lovely and tall, is silent.",0.9,2447,entailment
The large entrance hall is light and airy with open galleried landings above.,The large entrance hall is lit by an overhead spotlight and has a low ceiling and a large open galleried entryway that leads down a flight of steps.,0.5,1388,neutral
"of duty on the part of Wealden District Council over many years that no such car park exists . "" Looking at the group seated around the dinner table , it is",of duty on the part of Wealden District Council over many years that no such car park exists. ,0.9,9474,entailment
"There would eventually be a legal obligation on drivers to set limiters to the prevailing speed limit , but control would remain in the driver 's hands . A driver-operated speed limiter","The driver would have the option of setting the speed limit to the speed limit that the traffic lights indicate, but would not be required to do so",0.9,5065,entailment
An accident report form will have to be completed for the insurance company.,An insurance form must be completed.,0.9,2170,entailment
Over 6 years he developed a computer program to produce puzzles quickly.,"He was a professor at a university, and he had developed a program that could produce a number of different kinds of puzzles, which he called puzzles, which he was known for.",0.5,739,neutral
"However, Whitehall thinks that I am a thoroughly bad hat and will not talk to me.",I will not talk to you because I am a thoroughly bad hat and will not talk to you.,0.9,145,entailment
The chapter concludes with a critical review of simulation games.,The chapter ends with a discussion of the simulation game 'SimCity',0.5,952,neutral
The record book must include details of the assets comprised in the estate and their expected realisable values.,The record book must include details of the assets comprised in the estate and their estimated values.,0.9,3451,entailment
"motorists are asked to avoid parking in isolated or darkened areas of camping sites or parking lots . Tourists are advised to conceal bags and purses even when driving , and to",avoid driving in the rain or when visibility is poor.,0.9,6409,entailment
Thus the church was filled with people before divine service began.,"Thus, the people of the church, the first to arrive, began to be filled with people.",0.5,1049,neutral
I have a fish story to tell you.,I was on the beach one day and my friend told me that there is an old man on a small island named 'Tin Island'.,0.5,4111,neutral
we have been instrumental in ensuring that the company features at the top of search engine listings for tourist accommodation throughout Cornwall . The results that we have generated are second,"the company is a local business with local staff, local customers and local clients",0.9,5658,entailment
Quality wedding disc jockey equipment comes at a cost.,You don't know a thing about what a disc jockey actually does.,0.1,4494,contradiction
"got ?! "" exclaimed Mick as he carried out another in a long succession of grandfather clocks . "" Nine ! "" said Dickie . "" One for every room plus one",It was the most exciting moment of my life. ,0.5,7860,neutral
A month of carpet bombing ended in 40 hours of the most concentrated killing seen since Hiroshima.,I'm going to get the hell out of here.,0.9,538,entailment
"constant battle for us , as he is a morning person & I am a night owl , so I find that going to sleep at 9.30 really cuts out the best","We are going to be in a constant battle, but we are going to do it with love",0.9,6604,entailment
"St Loye 's Foundation , creating work choices , and life chances . This collaborative research project that is investigating the learning gains involved in innovative uses of interactive digital whiteboard technologies","St Loye's Foundation, creating work choices and life chances ",0.9,5993,entailment
THE TIMES EDUCATIONAL SUPPLEMENT ) and as a broadcaster for the BBC and various independent radio stations . He was the editor of BOOKS FOR KEEPS from 1989 till 1996 when it,was taken over by the BBC and is now the book publishing division of BBC World Service.,0.9,6148,entailment
"St Loye 's Foundation , creating work choices , and life chances . This collaborative research project that is investigating the learning gains involved in innovative uses of interactive digital whiteboard technologies",A new approach to the use of interactive digital whiteboard technologies in education and learning,0.9,5991,entailment
"was run down by a white van , registration number NID 92 , on a zebra crossing in the Goldhawk Road . A van with the same registration had been seen outside",was seen at an address at the junction of The Strand and The Strand Road,0.1,4655,contradiction
My mother was unaware of this half brother and half sister.,She's never met my sister's boyfriend and has never seen his girlfriend before. He's the one that I'm dating right now.,0.1,1864,contradiction
"confirm the identity of the buyer , but Kruidvat appears to have emerged as the front runner . Top of the page Call on Lords to scrap clause 67 The Association of",the Association of,0.9,8046,entailment
A loan shark is someone who lends money at a high weekly interest rate.,"The term loan shark is a slang term used for a man who lends money at high interest rate, usually in a small amount.",0.1,2476,contradiction
"one less hour for debate , so those on the Tory Front Bench are shedding crocodile tears . Listening to the debates on some of the amendments this afternoon , I felt",The only time we are allowed to discuss the issues is when they come up in debate. I am sure that the Prime Minister and the Leader of the Opposition were not aware of this fact,0.1,8677,contradiction
a critically-acclaimed and faithful translation of Hugo Pratt 's famous existentialist hero to the silver screen . Set in the chaos during the fall of the Russian and the Chinese empires,"A man of great courage and strength, he is also a master of disguise, and he is determined to find his way out of a dangerous situation.",0.5,5503,neutral
"1975 . A couple of years later another female who apparently vanished on reaching a brick wall , was observed near Traitor 's Gate . Top WESTMINSTER ABBEY Victoria Street London SW",1975.... ,0.5,9586,neutral
Filter which reduces the moirÃ© effect you sometimes get when watching a picture that contains fine lines or patterns . Exceptionally Smooth Images The Acuity Core brings other advantages . Standard 100,Filter the image you can get from a standard 100 megapixel digital camera.,0.5,8205,neutral
The idea of Art and Culture blending with the 9 - 5 of the city rat race is a hard one to imagine . The two do n't exactly mesh do they,The idea of art and culture blending with the 9 - 5 of the city rat race is a hard one to imagine. The two don't exactly mesh do they.,0.5,6140,neutral
"Ah well, the silver lining is that her actions will be under much greater scruitiny than before.",Oh no! The gold lining is that it'll only get worse.,0.1,3582,contradiction
"route at the northern end of the city centre . In contrast in the morning rush hour , this Leopard is on a short and looping round in the Octagon ."," The new 'L' station in Paris, the first new station built in Paris for 30 years.",0.1,5743,contradiction
"like this , you do n't expect much more information . There will be no smoking gun . All sightings confirm a multi layered coordination between Saddam and bin Laden , in",an attempt to destroy the US government and its allies.,0.5,5359,neutral
"Grilled Red Mullet with Lavender , Orange and Fennel For a Mediterranean cruise down memory lane , take time to enjoy the sun baked flavours that bring it to life .",Grilled Red Mullet with Lemon and Fennel for a Caribbean cruise down memory lane.,0.5,6840,neutral
The idea of Art and Culture blending with the 9 - 5 of the city rat race is a hard one to imagine . The two do n't exactly mesh do they,The idea of Art and Culture blending with the 9 - 5 of the city rat race is a hard one to imagine. The two don't exactly mesh do they,0.9,6136,entailment
She had written down the date in her pocket book of the day when she dispatched it.,"I have never seen such a beautiful sunset, and I have been to many beautiful places. It was so peaceful.",0.1,3270,contradiction
"Along with the fall in birth rate, the country experienced a soaring level of education.",It is not a good idea to have a high education.,0.1,299,contradiction
We can form such a matrix from n vectors in any vector space having an inner product.,"In this case, we can use a special method that makes the inner product of n matrices of size k into a vector space with n-1 vectors.",0.5,2063,neutral
"variation is in maximum speed limits ; for example , rural states like Montana have speed limits as high as 75 mph ( 120 km / h ) , but Oregon has","speed limits in the US are much higher than in other countries. The average speed limit is 80 mph in Europe, but only 60 mph in North America",0.1,5118,contradiction
"could begin to look to the older , more established quartets previously only their role models as peers . George Caird wished to hear more about the development of specialization","could begin to look to the older, more established quartets previously only their role models as peers. George Caird wished to hear more about the development of specialization.",0.9,5818,entailment
are realised and more fully exploited at an ever-accelerated rate then the employment prospects of call centres is shown to be a somewhat transient and ephemeral solution . These and other factors,are the result of the ever increasing complexity of the global economy and the ever increasing complexity of the global labour market.,0.9,9568,entailment
buying . And I would come to the defence of others who might have a guilt trip laid upon them because they are n't ? and ca n't be ? bisexual .,"I don't know how many people would have that kind of a problem, but if they were bisexual I would support them, and I would support them for the same reasons I would support any person.",0.5,7583,neutral
"This man, a dangerous psychopath, kills a prison guard and escapes.","A man named Michael, who has been arrested on multiple charges, was released after being convicted of assault.",0.1,3286,contradiction
A government's success in reducing population movement should be a key factor in allocating economic aid.,The success of the government in reducing population movement should be a key factor in allocating economic aid.,0.9,1274,entailment
a wee dig at little rich guRLs Josephine snorts her coke from a silver spoon and wonders where here life is going to ? .. these lyrics say,A wee dig at little rich guRLs and Josephine snorts her coke from a silver spoon and wonders where here life is going to,0.5,5435,neutral
"widening of the pier deck in 1931 and the building of the Crystal Casino and swimming pool , a year later , in 1932 . Being situated on the East Coast ,","the building of a new bridge over the river, connecting the two islands of the East and the West of Florida and the construction of the new casino in the early 1960's,",0.1,4899,contradiction
will be most focused on your studies . Are you a morning person or a night owl ? Do you concentrate best after a cup of coffee or after lunch ? Once,"You are very interested in the history of the Roman Empire, but you are also very interested in the history of the United States and the United Kingdom.",0.5,6632,neutral
A public telephone is available in the main entrance hall of the manor house.,I have just read that there are no more toilets in our village. What are your thoughts on this?,0.1,1432,contradiction
Website ( 4.7 .06 10 : 30 ) Do you actually own a purple smoking jacket ? or is it more of a luxurious robe ? erudite baboon / Website (,Website ( 4.7.06 10 : 30 ) I am an erudite baboon / Website ( 4.7.06 10 : 30 ) and my smoking jacket is a luxurious robe.,0.9,5279,entailment
"shopping , the first thing to remember is that you should not park in the parking lot and walk to the mall buildings , because you will probably get killed . Instead","I have a friend who lives in this area, he's a very nice guy, he lives in a small house and has a big yard. I think he's a good person ",0.1,6401,contradiction
to a mafia ' . The tears now being shed for Kosovar refugees are crocodile tears for sure . NATO has also discovered a sudden concern for Serbs forced to fight,I have no doubt that the Serbs will be grateful for the NATO air cover. I have no doubt that the Serbs will be grateful for the NATO air cover.,0.9,8713,entailment
"A more recent development is the web-based mail service, such as Hotmail, Yahoo Mail, and others.","A recent development is the web-based mail service, such as Hotmail, Yahoo Mail, and others.",0.9,2575,entailment
Can I say that I know the people of a town by inspecting the phone book?,Can I say that I know the people of a town by looking through their phone book?,0.9,3144,entailment
But is the practice totally bad news for the local pharma companies or is there a silver lining?,"The local pharma companies are the biggest winners from the new system, and they have been able to make some improvements in their business model.",0.5,3597,neutral
"Sleaford couple Mr and Mrs H G Haines recently gathered their family together for their diamond weddings anniversary celebrations - but said , "" No presents please ! "" Instead they thought",The couple had gathered their family together for the couple's wedding anniversary celebrations - and the groom and his wife were not able to find a gift for their new born daughter.,0.5,8577,neutral
. History Medieval bathing in Bath - History of Bath Medieval bathing in Bath The brass rings that can be seen visible in the walls record grateful bathers cured by the water,The water was the first thing that I remember having in my life.,0.9,9661,entailment
DRESS 1967 Modern industrial invention entered fashion in the 1850 's This dress from a fashion plate of 1867 has its wide triangular skirt supported on a steel with ' artificial crinoline,DRESS 1967 Modern industrial invention entered fashion in the 1850's's This dress from a fashion plate of 1867 has its wide triangular skirt supported on a steel with'artificial crinoline,0.9,8277,entailment
Keri enjoys music and has turned into a skilled disc jockey.,I am an amateur photographer.,0.1,4514,contradiction
"stripes , although many forces still use a mainly white colour scheme . The name panda car or panda is still often used , however . History In many areas the panda","panda car is the most popular car on roads and highways of China. It is used in many areas, however, the name car is still used in China.",0.1,6520,contradiction
"pupils to safeguard their reputation or position in school league tables . The association said head teachers had reduced their "" tolerance threshold "" for bad behaviour because competition for pupils and",has become so tough it is causing a shortage of teachers and increasing pressure on school buildings.,0.1,7472,contradiction
"the ' lunar ' qualities of the landscape , dramatically shaped by the working of china clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green","the'lunar'qualities of the landscape, dramatically shaped by the working of china clay, forming peaks and platforms of waste sand and pits often flooded with turquoise green",0.9,9148,entailment
"You're going to be top dog, number one, king of the jungle.","I'm not going to be the number one, I'm not going to be the king of the jungle, I'm going to be the number two.",0.9,3869,entailment
"For the keen , it has more information about the commands used by the mailing list software . If your confirmation e-mail went through successfully , you will be sent an",message that you can use to get your account back.,0.5,6914,neutral
I make fizzy drinks by mixing juice with sparkling water.,"If you're going to have a glass of water after you've eaten a meal, you should be drinking water. You can have a glass of milk or water if you want.",0.1,3682,contradiction
"particular aircraft . I also have to define the control surfaces , probably with ' fine line decals ' . The small size of my models means that some components have to","easily replace with the smaller, more expensive models. I have been flying the larger model since I first bought it, and I have to replace some components with",0.1,8199,contradiction
I think editors want critics who are well read and have sound judgement.,"I'm a well-read, well-judged critic who thinks editors want critics who are well read and have sound judgement.",0.9,3633,entailment
Pursel tried to find a silver lining in his experiment gone wrong by claiming that the pig was leaner.,It seems that Pursel's theory of the pig as a leaner pig is not entirely accurate.,0.5,3610,neutral
by acting as a star chamber in the sale of prime development land at rock bottom prices . Three members of the public who bravely chased and held on to a,a property that had been sold at rock bottom prices were the only victims of this crime.,0.9,5918,entailment
"By interacting with American inventors and entrepreneurs, middle school students learn firsthand about history, technology, and science.","By interacting with middle school students and their parents, middle school students learn how to make informed decisions.",0.5,2703,neutral
An example might be the amount of memory taken up by a computer program.,A program is a piece of software that can be used to carry out a task. The task may be carried out by a human or by a machine.,0.9,749,entailment
Keri enjoys music and has turned into a skilled disc jockey.,He is a very successful businessman who owns a very large company and is a member of the elite club in the world.,0.1,4512,contradiction
"more energy-saving cars . Last and not least , at the international summit meeting on climate change in Kyoto in 1997 , all countries agreed to make cuts in their production of",carbon-dioxide emissions.,0.9,9074,entailment
"of shadowy nightmare spill over into the realistically captured world of the everyday . The fine line between the known and unknown , real and fantastic , is emphasized by the director","The director is an artist, and a master of the macabre. The film is not a horror movie, it is a dark fantasy",0.9,8229,entailment
"more energy-saving cars . Last and not least , at the international summit meeting on climate change in Kyoto in 1997 , all countries agreed to make cuts in their production of","oil, the main source of energy in our cars.",0.5,9079,neutral
Let one of our high energy disc jockeys entertain your next party.,"Let's have a party, but we're going to have to go to a different location, so we'll be in a new location.",0.5,4523,neutral
This is seen as an acid test of the Government's commitment to protecting our most valuable environments.,The Government is committed to protecting our most valuable environments. This is seen as an acid test of their commitment.,0.9,9995,entailment
